city,date,weekday,hour,concat,SeasonalNaive,HoltWinters,Arima,TBATS
LIM,2021-01-19,Tuesday,22,LIM4421522,468,484,480,424
LIM,2021-01-19,Tuesday,23,LIM4421523,58,60,59,52
LIM,2021-01-20,Wednesday,0,LIM442160,0,0,0,0
LIM,2021-01-20,Wednesday,1,LIM442161,0,0,0,0
LIM,2021-01-20,Wednesday,2,LIM442162,0,0,0,0
LIM,2021-01-20,Wednesday,3,LIM442163,0,0,0,0
LIM,2021-01-20,Wednesday,4,LIM442164,0,0,0,0
LIM,2021-01-20,Wednesday,5,LIM442165,0,0,0,0
LIM,2021-01-20,Wednesday,6,LIM442166,0,0,0,0
LIM,2021-01-20,Wednesday,7,LIM442167,121,133,135,129
LIM,2021-01-20,Wednesday,8,LIM442168,344,378,385,367
LIM,2021-01-20,Wednesday,9,LIM442169,653,719,731,698
LIM,2021-01-20,Wednesday,10,LIM4421610,813,895,910,868
LIM,2021-01-20,Wednesday,11,LIM4421611,1094,1205,1225,1168
LIM,2021-01-20,Wednesday,12,LIM4421612,1903,2096,2131,2032
LIM,2021-01-20,Wednesday,13,LIM4421613,1999,2201,2238,2134
LIM,2021-01-20,Wednesday,14,LIM4421614,1485,1635,1662,1585
LIM,2021-01-20,Wednesday,15,LIM4421615,1358,1495,1520,1450
LIM,2021-01-20,Wednesday,16,LIM4421616,1220,1344,1366,1303
LIM,2021-01-20,Wednesday,17,LIM4421617,1189,1309,1331,1269
LIM,2021-01-20,Wednesday,18,LIM4421618,1353,1490,1515,1445
LIM,2021-01-20,Wednesday,19,LIM4421619,1868,2057,2091,1994
LIM,2021-01-20,Wednesday,20,LIM4421620,1779,1958,1991,1899
LIM,2021-01-20,Wednesday,21,LIM4421621,1122,1235,1256,1198
LIM,2021-01-20,Wednesday,22,LIM4421622,364,401,408,389
LIM,2021-01-20,Wednesday,23,LIM4421623,55,61,62,59
LIM,2021-01-21,Thursday,0,LIM442170,0,0,0,0
LIM,2021-01-21,Thursday,1,LIM442171,0,0,0,0
LIM,2021-01-21,Thursday,2,LIM442172,0,0,0,0
LIM,2021-01-21,Thursday,3,LIM442173,0,0,0,0
LIM,2021-01-21,Thursday,4,LIM442174,0,0,0,0
LIM,2021-01-21,Thursday,5,LIM442175,0,0,0,0
LIM,2021-01-21,Thursday,6,LIM442176,0,0,0,0
LIM,2021-01-21,Thursday,7,LIM442177,141,149,149,141
LIM,2021-01-21,Thursday,8,LIM442178,430,455,456,431
LIM,2021-01-21,Thursday,9,LIM442179,753,796,798,754
LIM,2021-01-21,Thursday,10,LIM4421710,906,958,960,908
LIM,2021-01-21,Thursday,11,LIM4421711,1229,1299,1302,1231
LIM,2021-01-21,Thursday,12,LIM4421712,2165,2290,2295,2169
LIM,2021-01-21,Thursday,13,LIM4421713,2285,2416,2422,2289
LIM,2021-01-21,Thursday,14,LIM4421714,1754,1855,1859,1757
LIM,2021-01-21,Thursday,15,LIM4421715,1447,1530,1534,1450
LIM,2021-01-21,Thursday,16,LIM4421716,1363,1441,1444,1365
LIM,2021-01-21,Thursday,17,LIM4421717,1309,1384,1387,1311
LIM,2021-01-21,Thursday,18,LIM4421718,1398,1479,1482,1401
LIM,2021-01-21,Thursday,19,LIM4421719,1720,1818,1822,1722
LIM,2021-01-21,Thursday,20,LIM4421720,1468,1553,1556,1471
LIM,2021-01-21,Thursday,21,LIM4421721,875,925,927,877
LIM,2021-01-21,Thursday,22,LIM4421722,300,318,318,301
LIM,2021-01-21,Thursday,23,LIM4421723,45,47,47,45
AQP,2021-01-08,Friday,0,AQP442040,0,0,0,0
AQP,2021-01-08,Friday,1,AQP442041,0,0,0,0
AQP,2021-01-08,Friday,2,AQP442042,0,0,0,0
AQP,2021-01-08,Friday,3,AQP442043,0,0,0,0
AQP,2021-01-08,Friday,5,AQP442045,0,0,0,0
AQP,2021-01-08,Friday,6,AQP442046,0,0,0,0
AQP,2021-01-08,Friday,7,AQP442047,0,0,0,0
AQP,2021-01-08,Friday,8,AQP442048,3,3,3,3
AQP,2021-01-08,Friday,9,AQP442049,7,8,7,8
AQP,2021-01-08,Friday,10,AQP4420410,13,14,13,14
AQP,2021-01-08,Friday,11,AQP4420411,29,31,28,32
AQP,2021-01-08,Friday,12,AQP4420412,98,102,94,108
AQP,2021-01-08,Friday,13,AQP4420413,111,116,107,123
AQP,2021-01-08,Friday,14,AQP4420414,70,73,68,77
AQP,2021-01-08,Friday,15,AQP4420415,54,56,52,59
AQP,2021-01-08,Friday,16,AQP4420416,37,38,35,40
AQP,2021-01-08,Friday,17,AQP4420417,59,62,57,65
